Unnamed: 0,winery,country,points,description,designation
568,Hahn,US,90,"A slightly herbal, minty character gives personality to this full-bodied, generous and richly textured wine. It is attractively dry, nicely tannic, layered with black cherry, wild berry and rosemary notes. Great to drink now through 2020 with rich meats or mushrooms.",
569,Lyeth,US,90,"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",
570,The Calling,US,94,"Cherry pie and nuanced spice flavors buoy this delicately layered, medium-bodied vineyard designate that's built of robust fruit and supported quietly by oak. A thread of white pepper persists throughout, making it especially irresistible.",Sunny View
571,Trisaetum,US,94,"An aromatic textural wine, Wichmann sources fruit from the winery's oldest vines. Strawberry and cherry flavors are woven into details of citrus and tea. This elegant well-proportioned effort provides a feminine contrast to the sturdy Coast Range bottling.",Wichmann Dundee Estate
572,Vignobles Brumont,France,94,"This is the home estate of Madiran superstar Alain Brumont. The wine is big, bold, rich and packed with both fruit and tannins. It has great structure and a dense dusty tannic character that promises great aging. This is a major wine that needs time. Drink it starting from 2022.",Château Bouscassé
573,Frank Family,US,94,"This tremendous red wine is robustly aromatic, layering its black currant, dark cherry and chocolate scents with dusty sage and cedar. Luxuriously textured and smooth, it finishes focused and direct, with a lift of welcome acidity and complexity.",Reserve
574,Ancien,US,94,"From a cool part of the Napa Valley, this wine is bright and medium bodied—a moderately oaked mix of lemon custard, floral citrus and green apple flavors with an underlying spark of lemongrass and ginger. Richly layered, it remains balanced and structured as it opens in the glass.",Haynes Old Block
575,Barden,US,94,"Many are now playing with the low-alcohol, nervy side of Chardonnay, but Doug Margerum succeeds more than most. This bottling is light in the glass, with clean and crisp Asian pear, nectarine and mandarin pith aromas. The palate is tightly wound and energetic, showing sharp citrus and rounded strone-fruit flavors. Drink now–2030.",
576,Borgo del Tiglio,Italy,94,"One of the finest whites of the vintage, this exquisite bottling has an enticing bouquet of almond, orchard fruit, almond and chopped herb. The elegantly structured palate delivers mouthwatering peach, apricot, almond and energizing mineral ntoes that carry over to the long, lingering finish, along with a hint of tangerine.",
577,Château de Gayon,France,94,"Eight years is about right for a Madiran to start its mature phase. This wine is just there, a ripe expression of Tannat. It still has tannins and they will remain, but the fruit has lost its raw youth and has become rich with dried fruits and acidity working well together. Drink this wine now and until 2025.",Dou Barringuet
578,Demetria,US,94,"This lovely, layered wine from the Santa Ynez Valley-based producer shows iron, cranberry, shiitake, cola and cherry on the nose. Those same elements are delicately woven into the palate, enhanced by a Sichuan peppercorn kick and vibrant acidity that will ensure a long life ahead. Its flavors continue to unwind as it opens in the glass.",Cuvée Sandre
579,Domaine Serene,US,94,"Aromatically compelling, this offers a complex mix of clover, chocolate and cherry in the nose. It is a substantial, fruit-packed wine, with cherry and plum fruit, a full-bodied midpalate, mouthfilling texture and nicely integrated barrel spices. It finishes with a streak of Meyer lemon acidity. Drink now through 2030.",Two Barns Vineyard
580,Château Lagrézette,France,93,"Produced from old Malbec vines in the second terrace above the River Lot, the wine is darkly concentrated, with solid tannins and generous black fruits. Aging for 12 months has smoothed the square corners to create a wine that is hugely rich and rounded. It has the potential to age and become more opulent. Drink from 2020.",Seigneur de Grézette
581,Cherry Pie,US,93,"Cloudy, pungent and supremely earthy, this wine reveals its delicate acidity over time, bringing balance to its flamboyant fruit. With intense strawberry, orange peel and black tea flavors, it's savory and richly built, finishing on a touch of smoky vanilla.",Rogers Creek
582,Johanneshof Reinisch,Austria,93,"Pepper and cinnamon strike first, before beautifully aromatic notions of blueberry, plum and tart black cherry appear. These scented fruits pervade the entire palate with spice, verve and freshness. A wonderfully poised Sankt Laurent at the perfect intersection of restrained freshness and glorious richness.",
583,21 Grams,US,93,"High-toned aromas of cranberry, herb, black licorice and dried cherry are followed by tightly wound dark-fruit flavors backed by firm tannins. The finish extends into the distance. It's a highly structured wine, with its best days far in front of it. Best from 2021 through 2027.",
584,Aperture,US,93,"Complemented with 11% Cabernet Franc, this vineyard designate from winemaker Jesse Katz shines in fragrant plum, raspberry and blackberry flavors. Softly layered and balanced, it teases with dark chocolate and clove hints.",Oliver's Vineyard
585,Babcock,US,93,"Baked red cherry, vanilla pastry, loam, dried mint and forest floor notes all show in this excellent bottling from Bryan Babcock's family vineyard. Its tannic structure is immediately apparent, framing a core of raspberry fruit rounded out with thyme, oregano, black pepper and sea salt flavors. Drink 2021–2029.",Ocean's Ghost Babcock Vineyard
586,Lleiroso,Spain,93,"Deep dark berry aromas come with notes of vanilla, gritty spice and tobacco. Hard tannins require cushion and this has just enough to handle things. Blackberry, cassis, barrel spice and molasses flavors finish with savory oak notes, chocolate and lingering blackberry fruit. Drink through 2030.",Reserva Edición Especial Sergio Hernández
587,Meinklang,Austria,93,"Juicy, vivid black cherry fruit appears on the nose of this wine, with a touch of tar and brooding elderberry. The palate brims with those appetizing flavors and adds an edge of licorice to the fruit. It's fresh and vibrant, with a fine, taut, gossamer structure. A delicious Pinot Noir that's as elegant as it is refreshing and honest.",
588,Muhr-Van der Niepoort,Austria,93,"Upon first pour, this only shows some earthy hints of evolution. With air, the aromas awaken and lovely notes hayflower notes emerge. The palate is laced with elderberry and dried oak leaf flavors and framed by smooth tannins. Just a little bottle age has given this an almost timeless elegance, proving a wine doesn't need power to shine, just depth. Drink now–2025.",
589,Nicora,US,93,"This bottling reveals that this historic vineyard can produce incredibly rich wine as well as the zestier styles it is known for. It shows black cherry, candied strawberry and bourbon-like spice on the nose. The mouthfeel is lavish, full of purple fruit and floral flavors, as well as peppery spice and vanilla warmth. The acidity and structure are solid, and there's a touch of tar on the finish.",Bien Nacido Vineyard
590,Parallel,US,93,"Crisp with peach and apricot goodness, this full-bodied white's gravelly texture works to its advantage, providing both steely acidity and grip. That grit becomes velvety smooth as the wine opens in the glass, making it irresistibly seductive and inviting.",
591,Patricia Green Cellars,US,93,"Fruit from the oldest blocks in this pioneering vineyard is sourced here. It's bright, spicy and focused, with forward citrus-scented Bing cherry flavors. The concentration and length are outstanding, with just the lightest suggestion of green herbs rounding out the finish.",Medici Vineyard
592,Renwood,US,93,"Bright, firmly structured and full of classic berry and savory flavors, this wine is rich but balanced and ready to serve with a steak, chop or rack for a special occasion. It has ripe fruit bolstered by firm acidity and a healthy coating of fine-grained, grippy tannins. Best after 2020.",Story Vineyard
593,Rusack,US,93,"Grown against all odds (and against all likelihood of economic viability) overlooking the Pacific Ocean atop Catalina Island, this Chardonnay is a success every vintage. It shows a broad spectrum of nutty aromas, from macadamia to cashew, with touches of honey and daffodil. On the palate, expect walnut, vanilla and oak smoke, with a butterscotch-like finish.",Santa Catalina Island Vineyards
594,Sbragia,US,93,"Another beauty from this producer and this appellation, Hughes is about granite-like minerality and rocky dust—a big-boned powerhouse from a powerful vintage that boasts generous spiced plum, cola, clove and black pepper flavors.",Hughes
595,Schwarz Wein,Austria,93,"Oak leaf, tart strawberry and supple vanilla aromas appear immediately on the nose and continue their smooth interplay on the mellow palate. This is pliable in texture but has depth, backbone and inherent freshness. Delicious now, it has an underlying taut structure that will benefit from some bottle age. Drink 2018–2025.",The Butcher
596,The Bridge,US,93,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",A Ken Forrester Wine Farrow Ranch
597,Harney Lane,US,93,"This distinctive, complex and layered wine brings a unique aromatic profile of raspberries, sage and spice before fanning out across the palate with gorgeous raspberry syrup, dark chocolate and blackberry flavors. Its lightly grippy texture of fine-grained tannins perfectly counters the plush effusiveness of its fruit.",Scottsdale Vineyard
598,Pago de Carraovejas,Spain,93,"Like it's bigger sibling El Anejón, this Reserva from a warm vintage is almost one-quarter Cabernet Sauvignon and Merlot in addition to Tinto Fino (Tempranillo). The opening of burnt earth, brandied cherry, rubber and herbal aromas is distinct. This feels a bit tough and chewy, with boysenberry, cassis, vanilla-cream and herbal spice flavors. A fairly smooth finish is young and vital. This should improve with aging. Best from 2019–2026.",Reserva
599,Domaine de la Bégude,France,93,"A structured and still young wine from the estate owned by the Tari family, formerly of Château Giscours in Margaux. It is packed with black fruits, spice and dense tannins that are melding together so well. Licorice and wood aging give the wine an extra complex dimension. Drink this from 2019.",
600,Rock Wall,US,91,"Hendry Vineyard Zinfandels are among Napa's best. With this release, Rock Wall brings their high alcohol, lusty touch to the wine. It's a huge Zin, dry and tannic, with ripe blackberry, dark chocolate and crushed black peppercorn flavors. Drink it now and through 2021.",Hendry Vineyard
601,Thistle,US,91,"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",
602,Vitesse,US,91,"The wine is a successful blend of various mountain vineyards. It's a classic California Cab, rich in tannins, with brisk acidity and finely-etched black currant, cassis, mineral and oak flavors. Blended with some Merlot, it's fancy and elegant, a real beauty to drink now, and will hold in the bottle until 2024.",
603,Wines & Winemakers,Portugal,91,"With strong wood-aging flavors, this is a full, very ripe and concentrated wine. Coming from old vines, it has depth of flavor, both fruity and rich. Peach and pear flavors dominate, along with spice from wood aging. The wine needs some aging, so drink from 2015.",Lua Cheia em Vinhas Velhas Reserva
604,Nals Margreid,Italy,91,"Intense aromas recall fragrant jasmine and honeysuckle alongside whiffs of exotic fruit. The round palate delivers juicy green apple, citrus and hints of yellow peach that end on a mineral note.",Punggl
605,Beauregard,US,91,"Right out of the bottle, it's all about acidity and fresh, primary raspberry and cherry jam fruit. Wait until 2018 allow more complex mushroom flavors to emerge, as the wine gradually sheds tannins and develops secondary bottle notes.",Bald Mountain Vineyard
606,Domdechant Werner,Germany,91,"Whiffs of spice, honeycomb and lanolin meld curiously on the nose of this intensely mineral Riesling. Dry in style, with pretty yellow-cherry flavor, it builds in concentration and complexity as shades of spice, rock and fruit amass against a backdrop of sunny tangerine acidity. Drink now.",Hochheimer Domdechaney Trocken
607,Bischöfliche Weingüter Trier,Germany,91,"This dainty off-dry Riesling is marked by aromas—ripe stone fruit and florals against a backdrop of tea leaves and crushed minerals. On the palate, it's intensely juicy, with flavors of orange, mango and peach, but with a streak of acidity that ripples the tongue.",Ayler Kupp Kabinett
608,Schloss Vollrads,Germany,91,"Lavish aromas of ripe peach, canteloupe and honeysuckle extend onto the palate of this juicy, fruit-forward Riesling. Semi-sweet in style, it's one lipsmacking nectar, with bracing lime acidity on the finish.",Medium Dry Kabinett
609,Bürgermeister Willi Schweinhardt,Germany,91,"Zesty lime and evergreen notes mingle with luscious peach, plum and cherry aromas on this semisweet Scheurebe. The palate is juicy in stone fruit flavor, but refreshing and cool, with a bracing hit of acidity that lingers on the finish.",Löhrer Berg Spätlese
610,C.H. Berres,Germany,91,"Smoke and jasmine-tea notes mingle seductively on this brisk, gorgeously floral off-dry Riesling. The palate is lush, with ripe peach and nectarine flavors that fill the mouth, finishing long.",Ürziger Würzgarten Spätlese
611,Franz Haas,Italy,91,"This smooth, richly textured wine offers concentrated sensations of exotic fruit, apricot, smoky mineral, golden apple, hazelnut and a hint of honey. The palate is brightened by crisp acidity that gives a crisp finish. This will develop more complexity over the next few years. Drink now–2017.",Manna
612,Hawks View,US,91,"From the estate vineyard, this is thick with spicy flavors of fresh-cut pear. There's a hint of butter and a slightly minty aspect. All in all it's complex, rich and inviting, with penetrating acidity.",Oregon Hawks View Vineyard
613,Herdade do Rocim,Portugal,91,"This wine is full of fruit, dusty tannins and great structure. A smooth surface covers the complex, juicy black fruits, dense tannins and mineral texture. This wine will certainly age, so don't drink before 2017.",Olho de Mocho Reserva
614,J Vineyards & Winery,US,91,"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",Estate Grown
615,L. Tramier & Fils,France,91,"Still young, it has dense tannins, spice from wood aging and a smoky bacon flavor that is still integrating. It will have the right weight and good berry fruits as it ages, giving a sense of presence and grandeur. Drink from 2018.",
616,La Follette,US,91,"This wine is as dry as Chardonnay gets, almost severe, with the alcohol an amazingly low 13.2% by volume. The lean, angular mouthfeel provides hints of Meyer lemons, limes and wet stones, with a bit of tropical fruits suggesting that this is California, despite the vintage being the chilliest in memory. Drink it through 2020, but never too cold.",Lorenzo Vineyard
617,Laird,US,91,"The blend is Cabernet Sauvignon, Syrah, Merlot and Malbec. Cab Sauv brings rich black currants, as well as thick tannins. Merlot adds softer notes of cherries and violets. The Malbec increases the tannins, along with notes of grilled meat bone that Syrah, with its peppery, beef-jerky meatiness, enhances. The result is a young, vigorous wine, dry and balanced in acidity. It may or may not age, but there's no reason not to decant it now and enjoy with grilled beefsteak.",Jillian's Blend
618,Les Voleurs,US,91,"Here's a big Pinot Noir, dark, dense and tannic. In part, those tannins are due to 30% whole-cluster fermentation, which also gives the wine a brooding earthiness and spiciness. Fully dry, it's packed with black cherry, rhubarb and pomegranate fruits. Hold it until 2018 and see how it's doing.",Rodgers Creek Vineyard
619,Dr. Heidemanns-Bergweiler,Germany,91,"Ripe, juicy peaches and nectarines burst from the nose and palate of this semisweet Riesling. Sunny and pristine, with a soft, lacy sweetness, it's balanced by bristling acidity and a delicate minerality on the finish.",Bernkasteler Badstube Spätlese
620,Dr. Heidemanns-Bergweiler,Germany,91,"Fresh, herbaceous notes on the nose and palate lend elegance to this rich, round Riesling, full of sweet canteloupe and peach flavors. It's delicately structured, with a zingy strike of citrus acidity and hints of spice that carry long on the finish.",Graacher Himmelreich Auslese
621,Dr. Loosen,Germany,91,"This semisweet Riesling balances an intensely fruit-forward profile of ripe yellow cherry and quince flavors against a backdrop of crisp, tart tangerine acidity. It's sunny and bright, yet elegantly composed, with a bristle of fresh herb notes that linger on the finish.",Bernkasteler Lay Kabinett
622,Dr. Pauly Bergweiler,Germany,91,"Opening with aromatic notes of smoke against a backdrop of stone fruit and apple blossoms, this is a racy little Riesling that packs a powerful punch of flavor. Delicately sweet, with a saturated palate of yellow cherry and quince, it's smartly balanced by a sheen of minerals and brisk, bracing citrus acidity.",Bernkasteler alte Badstube am Doctorberg Kabinett
623,Bischöfliche Weingüter Trier,Germany,91,"Wisps of smoke and candle wax seem savory in contrast to the ripe stone fruit and lemon aromas on this concentrated Riesling. Ripe, juicy tangerine flavors lend sweetness to the palate, but are cut with a vein of lime acidity that reverberates from start to finish. It's delicately textured, yet chock full of vibe and zest.",Scharzhofberger Kabinett
624,Bollig-Lehnert,Germany,91,"While remarkably lithe and delicate in style, this complex auslese is lusciously concentrated, with ripe peach and nectarine flavors balanced by hints of smoke, spice and musk. It's zippy and bright, with tart tangerine acidity and a wave of minerality on the finish.",Trittenheimer Apotheke Auslese
625,Bernardus,US,91,"Very sweet, honeyed flavors mark this dessert wine. It has apricot, pear, lemon and vanilla richness, brightened by crisp acidity. It's absolutely delicious for drinking now.",Griva Vineyard Late Harvest
626,Cantina Produttori San Michele Appiano,Italy,91,"The low-yielding vineyards generate concentrated aromas and flavors of cantaloupe, yellow peach, elderberry, crushed tomato vine and exotic fruit. A juicy palate is supported by fresh acidity and the lingering finish ends on a mineral note. It's crisp and delicious now but still can develop more depth. Drink through 2016.",Lahn
627,Château Devise d'Ardilley,France,91,"From a small estate, this big, ripe and fruity wine has swathes of black fruits to go with the dark, brooding tannins. Very broad and fruity, the wine is always likely to be structured. Drink from 2017.",
628,Dão Sul,Portugal,91,"This complex, mature wine has plenty of red fruit flavors, but its main character displays concentrated, tannin and spice. Hints of leather and rich acidity add their notes to this dense, dusty wine. It is ready to drink although it will still mature until 2020.",Cabriz Reserva
629,Domaine de Bellene,France,91,"White wines are rare in the Côte de Nuits and this wine is as structured as many reds. It does have strong toast flavors, a juicy citrus character and pear flavors. They go with an apple skin and spice aftertaste, laced with acidity. Drink until 2022.",Les Monts de Boncourt
630,Louis M. Martini,US,90,"Rich blackberry and chocolate form around chalky tannins and a juicy palate, with a waft of cigar in the distance. Medium bodied, round and soft, the finish is brushed in cherry and pomegranate.",
631,Riposte,Australia,90,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful mélange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",The Dagger
632,Virna Borgogno,Italy,90,"Stewed prune marinated in spirits, coconut, espresso and grilled herb aromas unfold in the glass. The firm palate offers dark cherry, coffee, anise and tobacco alongside bracing tannins bright acidity. Best after 2019.",Cannubi Boschis
633,Adega de Favaios,Portugal,90,"A strongly wood aged wine, powered by tannins and dense fruits, it is concentrated and still young enough for the wood to show through although the fruit is developing well. This is a structured wine that will need plenty of time to age so drink from 2018.",Casa Velha Colheita Seleccionada
634,Alessandro Rivetto,Italy,90,"This nose is rather closed but the firm palate offers ripe sour cherry, dark cooking spice, pipe tobacco and chopped herb. Fresh acidity and youthfully austere but refined tannins provide the backbone. Drink after 2019.",del Comune di Serralunga d'Alba
636,Balletto,US,90,"Stainless-steel fermented, this wine remains pungently aromatic in woody, earthy tones, with accents of fragrant orange blossom and pear, while staying crisp and light on the palate. Honey and lemon combine on the complex finish.",Estate Grown
637,Ca' Viola,Italy,90,"Classic Nebbiolo aromas of red berry, underbrush, tilled soil, aromatic herb and spice lead the nose. The bracing palate offers dried black cherry, anisette, mocha, toast and grilled herb alongside extremely assertive tannins and brisk acidity. Drink 2019–2031.",Sottocastello di Novello
638,Cantina del Nebbiolo,Italy,90,"Aromas of red berry, sage, cinnamon and a whisper of menthol lead the nose and carry over to the solid palate together with juicy sour cherry, black raspberry, licorice and tobacco. It's a classic Barolo, straightforward and delicious, with ripe, integrated tannins and fresh acidity.",
639,Cascina Ballarin,Italy,90,"This opens with aromas of woodland berry, crushed herb and a whiff of well-integrated oak. The firm palate delivers dried Morello cherry, baking spice and mocha alongside firm, fine-grained tannin. It closes on a note of star anise. Drink 2016–2021 to capture the fruit richness.",Bricco Rocca
640,Cascina Liuzzi,Italy,90,"Firm and full-bodied, this opens with aromas of mature plum, underbrush, baked earth, vanilla and exotic spice. The high-toned, chewy palate doles out ripe black cherry, raspberry jam, vanilla, mocha, white pepper and mint alongside polished tannins.",Sil Nizza
641,Castro Brey,Spain,90,"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Sin Palabras Castrovaldés
642,Chamisal Vineyards,US,90,"Nicely layered aromas of clove, graphite, iron and simmering black cherries show on the complex nose of this well-priced bottling. More iron and raspberry appear on the palate, where a balanced acidity pairs well with the strong mineral character.",Estate Grown
643,Château Saint-Didier-Parnac,France,90,"This wine is all about juicy blackberry and delicious ripe black plums. It is structured, with dry tannins in the background, but up front is fruity, bold and with a lightly smoky, perfumed aftertaste. It is almost ready to drink; just wait until late 2016.",Prieuré de Cénac
644,Conceito Vinhos,Portugal,90,"Vineyards in the upper Douro Superior region are able to produce surprisingly fresh and fruity whites like this, despite the heat and dry climate. Old vines go into this yellow and green fruit flavored wine with its lively acidity and totally refreshing palate. Drink from summer 2016.",Contraste Branco
645,David Hill,US,90,"Though 28 g/L of residual sugar is indicated, this lushly fruity and thoroughly delicious wine does not seem at all sweet, and just barely off dry. Peaches and pears combine in a lightly spicy but intensely flavorful wine with a myriad of food pairing possibilities, notably Thai noodle dishes, or poultry with a fruit sauce.",Estate
646,Davis Family,US,90,"This is a floral blend of 48% Roussanne, 35% Marsanne and 17% Viognier. The Roussanne speaks loudest, while the whole offers a mix of dried and fresh apricot and creamy vanilla wafer that's light bodied and fresh with acidity.",Cuvée Luke Saralee's Vineyard
647,Domaine d'Arton,France,90,"This blend of Bordeaux grapes with Syrah is rich and spicy. It is made to be drunk young, with touches of toast and a dense texture that brings out the perfumed character of Syrah balanced with Bordeaux structure. The wine is ready to drink, although it will be better from late 2016.",La Croix d'Argon
648,Domaine Gérard Duplessis,France,90,"From vines on the cooler left bank of the Serein river, this wine offers notes of toast, spice and ripe yellow fruits cut by tense, zingy lemon zest. It is textured, tense and full of minerality. Drink from 2017.",Vaillons Premier Cru
649,Dr. Heidemanns-Bergweiler,Germany,90,"Delicate whiffs of tangerine and lime intensify on the palate of this Spätlese Riesling, complemented by swathes of green herb and pine frond. It's superlight in texture, yet penetrating, showering the palate in sweet-tart grapefruit and Meyer lemon flavors. The finish is crisp and clean.",Graacher Himmelreich Spätlese
650,Eleven Eleven,US,90,"While soft and approachable, this wine also offers a density of black currant and cherry that gives significant power and juicy exuberance. Sizable tannins risk overtaking the fruit, but never do, with the oak imparting a jolt of smokiness on the finish.",Laki's Vineyard Estate
651,Elvio Cogno,Italy,90,"Aromas of mature dark-skinned fruit, scorched earth, exotic spice and a whiff of blue flower lead the way. The vibrant, savory palate doles out juicy black cherry, plum, ground pepper and anise set in a framework of racy acidity and softly polished tannins. Enjoy through 2018.",Bricco dei Merli
652,Folin Cellars,US,90,"In this ripe vintage Folin has produced a full-throttle Tempranillo: tannic, chewy and firm. Blue plum and black cherry anchor the palate, with notes of tobacco, toast and composted earth.",Estate
653,Franco M. Martinetti,Italy,90,"Dark and brooding, this opens with aromas of French oak, espresso, clove and mature blackberry. On the extracted palate, licorice, vanilla and sweet baking spice accent a core of baked plum while bracing, fine-grained tannins provide the framework.",Marasco
654,King Estate,US,90,"This appealing, youthful wine wraps bright raspberry fruit in a fragrant blanket of toasty oak. It's lively, detailed and impeccably fresh, with the balance to age gracefully through at least 2021.",Backbone
655,Kobler,US,90,"Big red fruit embraces chewy, integrated tannins in this vineyard-designate, a full-bodied explosion of ripeness and bold expression. While powerful, it holds on to nuance via streaks of high-toned citrus, allowing the wine room to breathe and remain lighthearted.",Campbell McKinney Vineyard
656,Left Coast Cellars,US,90,"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",Truffle Hill
657,Manzone Fratelli,Italy,90,"Aromas of baked plum are joined by earthy whiffs of truffle, leather, game and cured meat. The aromas carry over to the ripe, dense palate along with fleshy black cherry, anise, mocha and mint. Velvety tannins provide the framework while a confectionary note backs up the finish. Drink 2017–2022.",Fraschin
658,Marziano Abbona,Italy,90,"Alluring aromas of violet, rose, dark berry and a hint of cured meat emerge on this firmly structured wine. The palate is rather extracted, offering rich black cherry, chocolate, tobacco and sweet spice alongside grippy tannins.",Pressenda
659,Matteo Correggia,Italy,90,"Waves of French oak, coconut, espresso and menthol lead the nose. The dense, extracted palate offers raspberry jam, vanilla, toasted oak and kirsch alongside packed, fine-grained tannins. The warmth of alcohol and a leathery note signal the finish. Nebbiolo purists may find the new wood sensations excessive but if you're into concentrated, oak-driven wines, you'll especially enjoy this.",Roche d'Ampsej
660,Giant Steps,Australia,88,"This crisp, delicate Pinot Noir should be consumed over the next few years for its elegant cherry and rose petal notes and silky tannins. Hints of scorched earth and dry leaves add extra interest to the reasonably complex bouquet.",Applejack Vineyard
661,Domaine Gérard Fiou,France,88,"This lightweight, fruity wine is very direct in its acidity and canteloupe flavors. Citrus cuts the richness, while a fine chalky texture comes from the soil of the region. It's a wine to drink soon, fresh and packed with crisp fruits.",
662,Domaine Jean Bousquet,Argentina,88,"Cherry and plum aromas are earthy, gritty and not overly potent. The palate is saturated, with the right amount of body weight and volume. There's a blitz of berry and black cherry flavors, backed by a finish that's black in nature and shows mild bitter notes of chocolate and coffee.",Grande Reserve
663,Domaine Thomas & Fils,France,88,"Totally herbaceous, it's full of green herb flavors and tight with citrus and gooseberry. A light touch balances the intensity, giving freshness to the wine that's ready to drink now.",Le Pierrier
664,Dry Creek Vineyard,US,88,"A red Meritage blend of 51% Cabernet Sauvignon, 30% Merlot, 10% Cabernet Franc, 5% Petit Verdot and 4% Malbec, the name honors Dry Creek Vineyard's love of seafaring. With a nod to the Old World, it's lean and savory in black tea and exotic herb. Juicy, brambly berry come to the fore on the finish, which is still grippy on the palate.",The Mariner
665,Epiphany,US,88,"A complex aromatic profile of the fruit, spice and savory elements found in plum chutney, this promising wine drops off a bit once sipped. But it is still tasty, with freshly picked plum flavors bringing fruit, tartness and tannins together, a bit of bacon fat on the finish.",
666,Etienne de Tauriac,France,88,"This wine has both fruitiness and delicious, bright acidity. A subtle use of wood creates a firm structure under the black currant fruit flavors, giving a solid base on which to develop. Drink from 2017.",
667,Fog Crest,US,88,"Fuller in style, it boasts layers of coconut cream pie, fig and honey, with a swirl of vanilla lurking in there too. Mineral-rich, the finish revisits the creamy, baked fruit theme, lush and generous.",
668,Francis Blanchet,France,88,"Crisp with apples and citrus, it's also laced with a more mineral character. It's full in the mouth, very bright with acidity and grapefruit. Drink now.",Cuvée Silice
669,Germano Angelo,Italy,88,"This opens with aromas of plum, exotic spice and incense. The palate displays black cherry accented with white and black pepper, leather, licorice, espresso and balsamic notes but astringent tannins cut this short.",Mondoca di Bussia
670,Goldeneye,US,88,"Big and flashy, it has oodles of almost sweet oak and ripe fruit character. Full-bodied, rich in texture, with ripe raspberry and red cherry flavors, it offers firm tannins and a lingering, vanilla scented finish.",
671,Gundlach Bundschu,US,88,"From old vines planted on the Mayacamas Mountains, this Gewurz is pungent in lychee and grapefruit, a trace of pepper, ginger and clove hiding beneath the surface. Medium-bodied and dry, it offers a rich interplay between herb and spice plus freshness on the finish.",Estate Vineyard
672,Jean-Max Roger,France,88,This fragrant wine is full of fresh citrus and green apple flavors that are crisp and lively. A steely element comes through to give structure.,Cuvée C.M.
673,Laetitia,US,88,"One of the many estate Pinot Noirs produced by the pioneering Arroyo Grande Valley winery, which was founded as a sparkling wine house, this offers scents of sandalwood, black licorice and red currant. The flavors are tart with cranberry, then bring some bitter notes of crushed herbs.",Estate
674,Le Cadeau,US,88,"Potent and pungent, it holds juicy acids tasting of grapefruit. It plunges into a chocolaty midpalate with strawberry fruit that thins into light flavors of soda pop.",Diversité
675,Lucas & Lewellen,US,88,"Light and brigh, it comes from tSanta Barbara County grape-growing pioneer Louis Lucas. Aromas of orange juice, passionfruit and sugared grapefruit peel create a strong introduction. On the floral-laced palate, pear cider and night jasmine flavors make for a solid sipper if not particularly complex.",Estate
676,Bibich,Croatia,88,"This Croatian white is a blend of Debit, Pošip, Marastina, Pinot Grigio and Chardonnay. It has heady aromas of dried fruits, fresh peaches and buttered toast. There are great flavors of fresh stone fruits and black figs in the midpalate, and a pleasantly astringent finish.",Riserva R5
677,Boroli,Italy,88,"This retro-styled wine displays its new-wood influence. It opens with aromas of coconut, oak extract, coffee and espresso that continue onto the palate along with a hint of mint and spice. But there's not enough fruit richness to support the evident oak and drying wood tannins.",Villero
678,Chamisal Vineyards,US,88,"Light, bright and refreshing, it offers pear spritzer, lime zest and a hint of guava on the nose, followed by citrus rind, light papaya and apple juice on the palate. It makes a nice bridge between the richness of Chardonnay and crispness of Sauvignon Blanc.",Stainless
679,Château de Cruzeau,France,88,"An aromatic wine, it has a rounded texture, a spicy character and only light acidity. Very forward and fruity, it's going to be ready to drink by 2015.",
680,Château Lafargue,France,88,"The wine is rich, showing toast as well as apricot and peach flavors. It's full-blown, right up front with fruitiness and rounded texture. Drink now.",
681,Château le Sartre,France,88,"It balances a crisp texture against ripe fruitiness. Finely structured, it's very fresh with herbaceous fruits and lively acidity. Drink from 2015.",
682,Château Roc de Minvielle,France,88,"At this stage, the wine is closed, just hinting at its rich, fruity future. It has good acidity and a touch of bitter almonds, but the real fruitiness is still to come. Wait until 2015.",
683,Chelsea Goldschmidt,US,88,"A collaboration between winemaker Nick Goldschmidt and his daughter Chelsea, this 100% Merlot delivers great value. Oaky in plummy black fruit and tobacco, it shows a touch of cedar and clove amidst mountainous tannins. An ideal wine for pepper steak off the grill.",
